title,category,integration_status,github_url,website,total_awarded_usd,open_source,description
Reflector,Infrastructure & Services,Mainnet,https://github.com/reflector-network/,https://reflector.network,444840.0,"Yes, fully open-source with Github","Decentralized price feed oracle for Stellar DeFi smart contracts to support derivatives, lending, and asset management"
AnChain.AI,Developer Tooling,Mainnet,https://github.com/AnChainAI,https://www.anchain.ai/,435000.0,"Partly, I do have a public Github",The AnChain.AI Catalog is an open-source catalog of audited smart contracts designed to help companies build web3 projects faster.
Stellarchain.io,Infrastructure & Services,Mainnet,https://github.com/stellarchain/stellarchain-v3,https://stellarchain.io,240635.0,"Not yet, I don’t have a Github yet but my project will be open-source","The StellarChain.Dev Community will be a platform for engaging stellar community members and creating new connection, introducing new features and functionalities while collecting data from the blockchain. This extension will provide additional tools"
Scout,Developer Tooling,Mainnet,https://github.com/CoinFabrik/scout-audit,https://www.coinfabrik.com/,240000.0,"Yes, fully open-source with Github","To enhance the usability of Scout and raise awareness about the product and the security issues it tackles, aiding Soroban devs."
Stellar PHP SDK,Developer Tooling,Mainnet,https://github.com/Soneso/stellar-php-sdk,https://github.com/Soneso/stellar-php-sdk,225000.0,"Yes, fully open-source with Github",Easy access to Stellar for PHP developers
CommuniDAO,Developer Tooling,Mainnet,https://github.com/communidao,https://www.communidao.cc,219200.0,"Yes, fully open-source with Github","Initially conceived as a Discord bot, the project has evolved into a comprehensive DAO tooling suite, complete with an Integrations SDK that allows for custom app development. The platform leverages Soroban, to manage memberships and facilitate gover"
Smart Deploy,Developer Tooling,Mainnet,https://github.com/TENK-DAO/smartdeploy/commits/main/,https://www.smartdeploy.dev/,194800.0,"Yes, fully open-source with Github","Smart Deploy is an advanced platform designed to streamline and simplify the uploading, invoking, deploying, and upgrading of smart contracts on Soroban."
Mercury,Infrastructure & Services,Mainnet,https://github.com/xycloo,https://mercurydata.app/,172000.0,"Partly, I do have a public Github","Mercury is a cost-effective and efficient indexing service that specialized both on Soroban and Stellar ""Classic/Vanilla"" indexing. Mercury also offers a cloud service for deploying advanced network-synced programs that need to work with the Network'"
SorobanPulse,Infrastructure & Services,Mainnet,https://github.com/CrossChainLabs-Stellar/sorobanpulse-webapp,https://sorobanpulse.app/,168500.0,"Partly, I do have a public Github",SorobanPulse showcases Soroban's true potential through data and metrics from real world problem-solving dApps.
zkFetch: zkTLS-Powered Oracle Solution,Infrastructure & Services,Mainnet,https://github.com/reclaimprotocol/stellar-sdk-onchain-integration,https://www.reclaimprotocol.org,166000.0,"Yes, fully open-source with Github",zkFetch leverages zkTLS infrastructure to democratize and scale Stellar oracles by enabling fetching of any off-chain data from HTTPS endpoints while not exposing API keys. This enables a truly decentralized oracle infrastructure removing any depende
AssemblyScript Soroban SDK,Developer Tooling,Mainnet,https://github.com/Soneso/as-soroban-sdk,https://github.com/Soneso/as-soroban-sdk,158460.0,"Yes, fully open-source with Github",The AssemblyScript Soroban SDK is an open source SDK that supports writing contracts for Soroban by using AssemblyScript.
BPV StellarMesh Anchor,Infrastructure & Services,Mainnet,https://github.com/bp-ventures/django-polaris-bpv  https://github.com/bp-ventures/retail-wallet  https://github.com/bp-ventures/stcli,https://www.bpventures.us/,150000.0,"Partly, I do have a public Github","BP Ventures, a trusted, longtime Stellar integration partner, Stellar validator, and Circle Alliance member, proposes connecting Mesh—a leading aggregator of 300+ crypto exchanges—via our Anchor solution to the Stellar network.  This integration enab"
Public Node,Infrastructure & Services,Mainnet,https://github.com/publicnode,https://publicnode.org,150000.0,"No, my project does not need to be open-source, now or in the future",A nonprofit organization that supports and brings a trusted and meaningful public voice to open and inclusive blockchain networks.
Gateway.fm,Infrastructure & Services,Mainnet,https://github.com/gateway-fm,https://gateway.fm/public-rpc/,150000.0,"No, my project does not need to be open-source, now or in the future",Public Soroban RPC infra from gateway.fm. Mainnet/Testnet: 30RPS free of charge. Or 60RPS after the signup at https://admin.gateway.fm/
InfStones,Infrastructure & Services,Mainnet,https://gitlab.com/infstones-com,https://infstones.com,150000.0,"Partly, I do have a public Github",Provide Horizon and Soroban API developer access via an auto-scaling cluster with a freemium endpoint and support structure.
